id,date,type,content,media_file
701384,2025-02-07T06:53:10+00:00,text,Matter mathew this is trishal my frd,
701383,2025-02-07T06:52:52+00:00,text,But suddenly i cancelled my plan bro bzc i have exam,
701382,2025-02-07T06:52:27+00:00,text,This is olu bro,
701381,2025-02-07T06:52:07+00:00,text,I went to kanyakumari yesterday,
701380,2025-02-07T06:50:53+00:00,text,Feb 14 we give address and proof payment with next 5days of submit,
701378,2025-02-07T06:49:49+00:00,text,Ooh ok ok,
701377,2025-02-07T06:48:14+00:00,text,This time 14th February,
701376,2025-02-07T06:47:56+00:00,text,You see lotter time in leaderboard heading,
701375,2025-02-07T06:45:07+00:00,text,Thanks for your support,
701373,2025-02-07T06:45:00+00:00,text,"🚨 **As we always mention,** 🚨

Please **check our pinned messages** for updates, especially for all the **newbies**! 🔔

As much as possible, **don’t entertain DMs from unknown people**. Remember, **we admins WILL NEVER DM FIRST**! 👮‍♂️👮

Also, **follow us on our social media** to stay in the loop 👇🏻. Your support is a huge help in our project’s growth! 🙏🏻

🌐 **Website**",
701372,2025-02-07T06:44:47+00:00,text,You’ll have to wait for the official announcement! Stay tuned. 🚀,
701371,2025-02-07T06:43:47+00:00,text,Airdrop date,
701370,2025-02-07T06:40:33+00:00,text,Thanks kalash,
701369,2025-02-07T06:39:33+00:00,text,lift up bois,
701368,2025-02-07T06:38:15+00:00,text,Yes! 🎉 Chat Event Season 5 rewards have been distributed! 🚀 Congratulations to all the winners! 🎊 Keep the hype going! 🔥,
701367,2025-02-07T06:37:00+00:00,text,Already distributed,
701365,2025-02-07T06:29:23+00:00,text,Last event 10 usdt reward,
701364,2025-02-07T06:28:53+00:00,text,what reward?,
701363,2025-02-07T06:27:50+00:00,text,Lft,
701362,2025-02-07T06:27:40+00:00,text,To the moon 🙌🚀,
701360,2025-02-07T06:26:30+00:00,text,We are the strongest ants,
701359,2025-02-07T06:26:11+00:00,text,I can understand it buddy,
701358,2025-02-07T06:25:52+00:00,text,Yeah already got it,
701357,2025-02-07T06:25:15+00:00,text,That strange person,
701356,2025-02-07T06:25:03+00:00,text,SuperEx to the moon,
701355,2025-02-07T06:24:12+00:00,text,Is SuperEx drop and SuperEx same ?,
701354,2025-02-07T06:23:37+00:00,sticker,[STICKER] BAADBQADUxMAAh3ICFc6ZEF_wIvKkgI,
701353,2025-02-07T06:23:35+00:00,text,"Soon, stay tuned",
701352,2025-02-07T06:22:56+00:00,text,Gm!,
701351,2025-02-07T06:22:44+00:00,sticker,[STICKER] BAADBQAD4BUAAuXACFeCKFalvLNJbwI,
701350,2025-02-07T06:22:43+00:00,text,Reward distribution today?,
701349,2025-02-07T06:22:39+00:00,text,Lift!,
701348,2025-02-07T06:22:31+00:00,text,Tothemooooon~,
701347,2025-02-07T06:22:24+00:00,text,LFG 🚀🚀🚀,
701346,2025-02-07T06:21:38+00:00,media,[OTHER MEDIA],
701345,2025-02-07T06:20:45+00:00,text,Haha,
701344,2025-02-07T06:20:32+00:00,sticker,[STICKER] BAADAgAD0TwAArbfaEi9HxEXCcrMcQI,
701343,2025-02-07T06:20:13+00:00,text,Girl aah,
701342,2025-02-07T06:20:09+00:00,text,Check dm Antony,
701341,2025-02-07T06:20:05+00:00,text,Sorry,
701340,2025-02-07T06:20:03+00:00,text,No dude,
701339,2025-02-07T06:19:52+00:00,text,Wkwkwkwk sok inggris,
701338,2025-02-07T06:19:37+00:00,text,Are you boy 😂,
701337,2025-02-07T06:19:29+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,
701336,2025-02-07T06:19:27+00:00,text,One younger and one elder right,
701335,2025-02-07T06:19:22+00:00,text,Let’s continue with your amazing support!,
701334,2025-02-07T06:19:14+00:00,sticker,[STICKER] BAADBQADHwcAAqEIgFXyvzX-FIRcSQI,
701333,2025-02-07T06:19:08+00:00,text,No,
701332,2025-02-07T06:19:08+00:00,text,Birahi😂,
701330,2025-02-07T06:19:04+00:00,text,Anton Anton,
701329,2025-02-07T06:18:57+00:00,text,Wow thats great,
701328,2025-02-07T06:18:57+00:00,sticker,[STICKER] BAADBQADzBAAAnX7EVWHAQABoe8hwwYC,
701327,2025-02-07T06:18:44+00:00,text,2 younger?,
701326,2025-02-07T06:18:43+00:00,text,Yes cutie,
701325,2025-02-07T06:18:35+00:00,text,Let’s keep the LIFTING UP! 🔥🎉,
701324,2025-02-07T06:18:27+00:00,text,Yes dude,
701323,2025-02-07T06:18:20+00:00,text,I have 2 sister younger and elder,
