id,date,type,content,media_file
838082,2025-02-16T07:47:18+00:00,sticker,[STICKER] BAADBQAD4BUAAuXACFeCKFalvLNJbwI,media/sticker_838082.webp
838081,2025-02-16T07:47:10+00:00,text,definitely very delicious. I also like coffee,
838080,2025-02-16T07:47:10+00:00,text,Bla bla bla,
838079,2025-02-16T07:47:07+00:00,text,Ur rimch already,
838078,2025-02-16T07:47:07+00:00,text,Yeah 😁,
838077,2025-02-16T07:47:04+00:00,text,hold Hopper,
838075,2025-02-16T07:47:01+00:00,text,Support Hopper always,
838074,2025-02-16T07:47:01+00:00,text,"🚨 **As we always mention,** 🚨

Please **check our pinned messages** for updates, especially for all the **newbies**! 🔔

As much as possible, **don’t entertain DMs from unknown people**. Remember, **we admins WILL NEVER DM FIRST**! 👮‍♂️👮

Also, **follow us on our social media** to stay in the loop 👇🏻. Your support is a huge help in our project’s growth! 🙏🏻

🌐 **Website**",
838073,2025-02-16T07:46:55+00:00,text,Ohh I see 😋,
838072,2025-02-16T07:46:54+00:00,text,I also wanna,
838071,2025-02-16T07:46:44+00:00,text,Lift together to top,
838070,2025-02-16T07:46:43+00:00,text,"Don't get drunk, and drink less coffee",
838069,2025-02-16T07:46:40+00:00,text,"Money will come, have faith 😼🍀",
838068,2025-02-16T07:46:29+00:00,text,Let me earn first,
838067,2025-02-16T07:46:25+00:00,text,Hahaha noooo😭,
838066,2025-02-16T07:46:21+00:00,text,Not enough money 💰 🤒,
838065,2025-02-16T07:46:18+00:00,text,Just having coffee with sir,
